,demand_forecast
2023-01-25 06:00:00,10565.364
2023-01-25 07:00:00,11564.104
2023-01-25 08:00:00,12003.256
2023-01-25 09:00:00,12292.982
2023-01-25 10:00:00,12363.406
2023-01-25 11:00:00,12427.219
2023-01-25 12:00:00,12391.07
2023-01-25 13:00:00,12269.938
2023-01-25 14:00:00,12143.888
2023-01-25 15:00:00,11977.358
2023-01-25 16:00:00,11968.709
2023-01-25 17:00:00,12282.455
2023-01-25 18:00:00,12437.089
2023-01-25 19:00:00,12291.366
2023-01-25 20:00:00,11484.248
2023-01-25 21:00:00,10723.025
2023-01-25 22:00:00,10231.678
2023-01-25 23:00:00,9706.766
2023-01-26 00:00:00,9228.111
2023-01-26 01:00:00,8863.311
2023-01-26 02:00:00,8797.795
2023-01-26 03:00:00,8905.62
2023-01-26 04:00:00,9238.799
2023-01-26 05:00:00,9832.974
2023-01-26 06:00:00,10666.741
2023-01-26 07:00:00,11742.074
2023-01-26 08:00:00,12191.996
2023-01-26 09:00:00,12253.328
2023-01-26 10:00:00,12351.899
2023-01-26 11:00:00,12442.438
2023-01-26 12:00:00,12334.452
2023-01-26 13:00:00,12185.851
2023-01-26 14:00:00,12086.401
2023-01-26 15:00:00,11898.754
2023-01-26 16:00:00,11917.74
2023-01-26 17:00:00,12259.335
2023-01-26 18:00:00,12437.964
2023-01-26 19:00:00,12264.244
2023-01-26 20:00:00,11527.1875
2023-01-26 21:00:00,10671.876
2023-01-26 22:00:00,10142.593
2023-01-26 23:00:00,9637.341
2023-01-27 00:00:00,9154.5625
2023-01-27 01:00:00,8894.706
2023-01-27 02:00:00,8843.078
2023-01-27 03:00:00,9068.696
2023-01-27 04:00:00,9271.753
2023-01-27 05:00:00,9909.529
2023-01-27 06:00:00,10760.256
2023-01-27 07:00:00,11792.996
2023-01-27 08:00:00,12187.318
2023-01-27 09:00:00,12188.286
2023-01-27 10:00:00,12296.068
2023-01-27 11:00:00,12384.429
2023-01-27 12:00:00,12227.0625
2023-01-27 13:00:00,12067.359
2023-01-27 14:00:00,11888.359
2023-01-27 15:00:00,11758.832
2023-01-27 16:00:00,11786.684
2023-01-27 17:00:00,12115.001
2023-01-27 18:00:00,12250.301
2023-01-27 19:00:00,12119.643
2023-01-27 20:00:00,11266.785
2023-01-27 21:00:00,10456.459
2023-01-27 22:00:00,9884.975
2023-01-27 23:00:00,9463.996
2023-01-28 00:00:00,8872.407
2023-01-28 01:00:00,8772.951
2023-01-28 02:00:00,8683.683
2023-01-28 03:00:00,8722.28
2023-01-28 04:00:00,8627.772
2023-01-28 05:00:00,8727.337
2023-01-28 06:00:00,8914.087
2023-01-28 07:00:00,9256.816
2023-01-28 08:00:00,9876.167
2023-01-28 09:00:00,10521.135
2023-01-28 10:00:00,10864.914
2023-01-28 11:00:00,10941.673
2023-01-28 12:00:00,10706.515
2023-01-28 13:00:00,10471.752
2023-01-28 14:00:00,10052.197
2023-01-28 15:00:00,10181.915
2023-01-28 16:00:00,10173.319
2023-01-28 17:00:00,10773.668
2023-01-28 18:00:00,11000.969
2023-01-28 19:00:00,10706.196
2023-01-28 20:00:00,10208.7295
2023-01-28 21:00:00,9705.113
2023-01-28 22:00:00,9288.529
2023-01-28 23:00:00,9044.029
2023-01-29 00:00:00,8374.58
2023-01-29 01:00:00,8194.093
2023-01-29 02:00:00,8157.718
2023-01-29 03:00:00,8186.4517
